S01RVM1,10.155.129.36,80,14,6
S01RVM2,10.155.129.37,81,14,6
S01RVM3,10.155.129.38,82,14,7
S01RVM4,10.155.129.39,83,14,7
S01RVM5,10.155.129.40,84,14,7
S01LVM1,10.155.129.41,85,14,8
S01LVM2,10.155.129.42,86,14,8
S01LVM3,10.155.129.43,87,14,9
S01LVM4,10.155.129.44,88,14,9
S01LVM5,10.155.129.45,89,14,9
S01R01WS1,10.155.129.64,134,14,10
S01R02WS1,10.155.129.65,135,14,11
S02R01PW1WS1,10.155.129.66,136,14,12
S03R01PW1WS1,10.155.129.67,137,14,13
S04R01PW1WS1,10.155.129.68,138,14,14
S01R01TD,10.155.129.76,156,14,10
S01R02TD,10.155.129.77,157,14,11
S02R01PW1TD,10.155.129.78,158,14,12
S03R01PW1TD,10.155.129.79,159,14,13
S04R01PW1TD,10.155.129.80,160,14,14
S01_S07SCB1,10.155.129.90,189,14,15
S01_S07SCB2,10.155.129.91,190,14,16
S01OIB1,10.155.129.94,200,14,17
S01TT1VFD,10.155.129.98,230,14,18
S01OP1SC1,10.155.129.102,237,14,17
